#,RA,Dec,image_nb,ccd,X,Y,CaHK_uncalib,d_CaHK,flag,Xg,Yg,run,FOV_corr,CaHK_calib
250.85895,44.57861667,2654,1,1480.78,2281.29,27.039,0.024,0,567.2,2281.3,,17Am05,,
250.76531667,44.58300833,2654,1,175.8,2209.96,27.046,0.025,0,1872.2,2210.0,,17Am05,,
250.79235,44.61125556,2654,1,555.11,1654.11,27.05,0.025,0,1492.9,1654.1,,17Am05,,
250.82565,44.66200833,2654,1,1025.1,654.43,27.057,0.025,0,1022.9,654.4,,17Am05,,
250.83605,44.47966667,2654,1,1153.86,4213.37,27.066,0.025,0,894.1,4213.4,,17Am05,,
250.89594583,44.46073889,2654,1,1989.8,4573.01,27.069,0.025,0,58.2,4573.0,,17Am05,,
250.860125,44.60768611,2654,1,1499.68,1712.61,27.075,0.025,0,548.3,1712.6,,17Am05,,
250.82609167,44.60424444,2654,1,1024.61,1785.84,27.075,0.025,0,1023.4,1785.8,,17Am05,,
250.878825,44.66702778,2654,1,1768.14,545.63,27.075,0.025,0,279.9,545.6,,17Am05,,
250.803875,44.6117,2654,1,715.77,1643.6,27.083,0.025,0,1332.2,1643.6,,17Am05,,
250.79516667,44.59755278,2654,1,592.9,1921.58,27.09,0.025,0,1455.1,1921.6,,17Am05,,
250.7991875,44.560325,2654,1,645.36,2647.71,27.091,0.025,-1,1402.6,2647.7,,17Am05,,
250.82366667,44.46405833,2654,1,979.98,4518.37,27.095,0.026,0,1068.0,4518.4,,17Am05,,
250.76280833,44.51486944,2654,1,135.16,3538.02,27.096,0.026,0,1912.8,3538.0,,17Am05,,
250.83842917,44.49094167,2654,1,1187.29,3993.7,27.099,0.026,0,860.7,3993.7,,17Am05,,
250.8076,44.46395278,2654,1,755.97,4522.34,27.112,0.026,0,1292.0,4522.3,,17Am05,,
250.89157083,44.48795556,2654,1,1929.97,4044.1,27.118,0.026,0,118.0,4044.1,,17Am05,,
250.76531667,44.65921944,2654,1,184.03,719.39,27.119,0.026,0,1864.0,719.4,,17Am05,,
250.7798,44.54704444,2654,1,374.12,2909.36,27.121,0.026,0,1673.9,2909.4,,17Am05,,
250.81321667,44.49074167,2654,1,835.92,4001.01,27.125,0.026,0,1212.1,4001.0,,17Am05,,
250.782,44.65587778,2654,1,415.97,782.22,27.125,0.026,0,1632.0,782.2,,17Am05,,
250.89944583,44.49792222,2654,1,2040.63,3848.74,27.13,0.026,0,7.4,3848.7,,17Am05,,
250.87646667,44.53654444,2654,1,1721.89,3099.67,27.138,0.026,0,326.1,3099.7,,17Am05,,
250.77566667,44.60005556,2654,1,321.56,1875.59,27.144,0.026,0,1726.4,1875.6,,17Am05,,
250.840575,44.52630278,2654,1,1219.75,3304.92,27.145,0.026,0,828.2,3304.9,,17Am05,,
250.82889167,44.52212778,2654,1,1056.3,3388.01,27.159,0.027,0,991.7,3388.0,,17Am05,,
250.81946667,44.51223056,2654,1,924.16,3581.98,27.164,0.027,0,1123.8,3582.0,,17Am05,,
250.80590833,44.53476667,2654,1,736.91,3145.05,27.172,0.027,-1,1311.1,3145.1,,17Am05,,
250.86634167,44.57256944,2654,1,1583.26,2398.2,27.176,0.027,0,464.7,2398.2,,17Am05,,
250.84889167,44.63735278,2654,1,1346.17,1133.73,27.177,0.027,1,701.8,1133.7,,17Am05,,
250.80927917,44.61768333,2654,1,791.79,1525.65,27.18,0.027,0,1256.2,1525.7,,17Am05,,
250.832,44.60146389,2654,1,1106.64,1839.29,27.182,0.027,0,941.4,1839.3,,17Am05,,
250.83245417,44.66663333,2654,1,1120.59,562.37,27.187,0.027,0,927.4,562.4,,17Am05,,
250.82915,44.48754722,2654,1,1057.86,4060.98,27.188,0.027,0,990.1,4061.0,,17Am05,,
250.81675,44.64134444,2654,1,898.41,1061.17,27.189,0.027,0,1149.6,1061.2,,17Am05,,
250.88709167,44.48501667,2654,1,1867.14,4101.93,27.19,0.027,0,180.9,4101.9,,17Am05,,
250.87232917,44.53953056,2654,1,1664.08,3042.05,27.191,0.027,0,383.9,3042.1,,17Am05,,
250.8855625,44.67415278,2654,1,1863.43,404.3,27.192,0.027,-1,184.6,404.3,,17Am05,,
250.89824167,44.59914444,2654,1,2031.94,1872.79,27.201,0.027,0,16.1,1872.8,,17Am05,,
